strain	date	region	country	is_lab_host	host	genbank_accession	authors
Russia/PP_000PTFY.3/2003-01-01	2003-05-28	Europe	Russia			AY995166.2	Meissner, J. D.; Seregin, S. S.; Seregin, S. V.; Vyshemirskii, O. I.; Samokhvalov, E. I.; Lvov, D. K.; Netesov, S. V.; Petrov, V. S.
Senegal/PP_000PTZV.3/1969-01-01	1969-05-28	Africa	Senegal		Hyalomma truncatum	DQ211613.1	Deyde, V. M.; Khristova, M. L.; Rollin, P. E.; Ksiazek, T. G.; Nichol, S. T.
Senegal/PP_000PU0T.3/1972-01-01	1972-05-28	Africa	Senegal		Capra hircus	DQ211614.1	Deyde, V. M.; Khristova, M. L.; Rollin, P. E.; Ksiazek, T. G.; Nichol, S. T.
Mauritania/PP_000PU1R.3/1984-01-01	1984-05-28	Africa	Mauritania		Hyalomma rufipes	DQ211615.1	Deyde, V. M.; Khristova, M. L.; Rollin, P. E.; Ksiazek, T. G.; Nichol, S. T.
China/PP_000PU2P.3/1968-01-01	1968-05-28	Asia	China	True	Ovis aries	DQ211616.1	Deyde, V. M.; Khristova, M. L.; Rollin, P. E.; Ksiazek, T. G.; Nichol, S. T.
Russia/PP_000PU3M.3/1967-01-01	1967-05-28	Europe	Russia	True	Homo sapiens	DQ211617.1	Deyde, V. M.; Khristova, M. L.; Rollin, P. E.; Ksiazek, T. G.; Nichol, S. T.
Russia/PP_000PU4K.3/1967-01-01	1967-05-28	Europe	Russia	True	Homo sapiens	DQ211618.1	Deyde, V. M.; Khristova, M. L.; Rollin, P. E.; Ksiazek, T. G.; Nichol, S. T.
Oman/PP_000PU5H.3/1997-01-01	1997-05-28	Asia	Oman	True	Homo sapiens	DQ211619.1	Deyde, V. M.; Khristova, M. L.; Rollin, P. E.; Ksiazek, T. G.; Nichol, S. T.
South_Africa/PP_000PU6F.3/1985-01-01	1985-05-28	Africa	South Africa	True	Homo sapiens	DQ211620.1	Deyde, V. M.; Khristova, M. L.; Rollin, P. E.; Ksiazek, T. G.; Nichol, S. T.
South_Africa/PP_000PU7D.3/1985-01-01	1985-05-28	Africa	South Africa	True	Homo sapiens	DQ211622.1	Deyde, V. M.; Khristova, M. L.; Rollin, P. E.; Ksiazek, T. G.; Nichol, S. T.
South_Africa/PP_000PUB5.3/1987-01-01	1987-05-28	Africa	South Africa	True	Homo sapiens	DQ211621.1	Deyde, V. M.; Khristova, M. L.; Rollin, P. E.; Ksiazek, T. G.; Nichol, S. T.
Turkey/PP_000PUC3.3/2003-01-01	2003-05-28	Europe	Turkey	True	Homo sapiens	DQ211623.1	Deyde, V. M.; Khristova, M. L.; Rollin, P. E.; Ksiazek, T. G.; Nichol, S. T.
Republic_of_the_Congo/PP_000PUD1.3/1956-01-01	1956-05-28	Africa	Republic of the Congo	True	Homo sapiens	DQ211624.1	Deyde, V. M.; Khristova, M. L.; Rollin, P. E.; Ksiazek, T. G.; Nichol, S. T.
China/PP_000PXU1.3/2004-01-01	2004-05-28	Asia	China	True	Ixodoidea	FJ562095.1	Zhou, Z.; Hu, Z.; Wang, H.; Deng, F.; Xia, Y.; Meng, W.; Zhang, Y.; Sun, S.; Li, T.
