strain	date	region	country	division	lineage	is_lab_host	host	genbank_accession	authors
Zambia/PP_00020PH.3/2019-01-01	2019-05-28	Africa	Zambia		1A		Crocodylus niloticus	LC817237.1	Kobayashi, H.; Chambaro, H.; Tabata, K.; Ariizumi, T.; Phongphaew, W.; Ndashe, K.; Ndebe, J.; Paul, F.; Kobayashi, S.; Ito, N.; Sasaki, M.; Hang'ombe, B. M.; Simulundu, E.; Orba, Y.; Sawa, H.
Brazil/PP_0002WCA.3/2018-04-26	2018-04-26	South America	Brazil		1A		Equus caballus	MH643887.1	Martins, L. C.; Silva, E. V. P. D.; Casseb, L. M. N.; Silva, S. P. D.; Cruz, A. C. R.; Pantoja, J. A. S.; Medeiros, D. B. A.; Martins Filho, A. J.; Cruz, E. D. R. M. D.; Araujo, M. T. F.; Cardoso, J. F.; Cunha, M. A. C. R. D.; Almada, G. L.; Romano, A. P. M.; Santos, M. G. D. P.; Rodrigues, G. A. P.; Chiang, J. O.; Quaresma, J. A. S.; Carvalho, V. L.; Vasconcelos, P. F. D. C.; Silva, E. V. P.; Silva, S. P.; Vasconcelos, P. F. C.
USA/PP_000306G.3/2018-01-01	2018-05-28	North America	USA	District of Columbia	1A		Psorophora	MK352483.1	Hughes, H. R.; Raj, P.; Tran, A.
USA/PP_000328A.3/2019-09-01	2019-09-28	North America	USA	Washington DC	1A		Aedes albopictus	MN849176.1	Hughes, H. R.; Raj, P.; Tran, A.
Brazil/PP_000353H.3/2019-06-13	2019-06-13	South America	Brazil	Espirito Santo state, Joao Neiva municipality	1A		Equus caballus	MT905060.1	Siconelli, M. J. L.; Jorge, D. M. M.; Castro-Jorge, L. A.; Fonseca-Junior, A. A.; Nascimento, M. L.; Floriano, V. G.; Souza, F. R.; Queiroz-Junior, E. M.; Camargos, M. F.; Costa, E. D. L.; Carvalho, A. A. B.; Fonseca, B. A. L. D.; Fonseca, B. A. L.
Brazil/PP_000373F.3/2020-08-21	2020-08-21	South America	Brazil	Piaui	1A		Equus caballus	MW420987.1	Costa, E. A.; Giovanetti, M.; Fonseca, V. S.; Aburjaile, F. F.; Xavier, J.; Catenacci, L.; Adelino, T.; Iani, F. C. M.; Dumon, W.; Deforche, K.; Lourenco, J.; De Oliveira, T.; Alcantara, L. C. J.
Brazil/PP_000374D.3/2019-07-30	2019-07-30	South America	Brazil	Sao Paulo	1A		Equus caballus	MW420988.1	Costa, E. A.; Giovanetti, M.; Fonseca, V. S.; Aburjaile, F. F.; Xavier, J.; Catenacci, L.; Adelino, T.; Iani, F. C. M.; Dumon, W.; Deforche, K.; Lourenco, J.; De Oliveira, T.; Alcantara, L. C. J.
Brazil/PP_000375B.3/2018-07-11	2018-07-11	South America	Brazil	Minas Gerais	1A		Equus caballus	MW420989.1	Costa, E. A.; Giovanetti, M.; Fonseca, V. S.; Aburjaile, F. F.; Xavier, J.; Catenacci, L.; Adelino, T.; Iani, F. C. M.; Dumon, W.; Deforche, K.; Lourenco, J.; De Oliveira, T.; Alcantara, L. C. J.
Italy/PP_00037LE.3/2020-10-01	2020-10	Europe	Italy	Campania region	1A		Accipiter gentilis	MW627239.1	Mencattelli, G.; Curini, V.; Di Lollo, V.; Polci, A.; Pinoni, C.; Mangone, I.; Monaco, F.; Savini, G.
USA/PP_0003CYK.3/2018-08-26	2018-08-26	North America	USA	Colorado	1A		Culex pipiens	OL741623.1	Hughes, H. R.; Kenney, J.
USA/PP_0003EWM.4/2018-01-01	2018-05-28	North America	USA		1A		Homo sapiens	OM202916.1	Rios, M.; Fares-Gusmao, R.; Volkova, E.; Grinev, A.; Assis, F.; Chancey, C.; Ok, S.; Rocha, B.; Sippert, E.; Tallon, L.; Sadzewicz, L.; Vavikolanu, K.; Mehta, A.; Aluvathingal, J.; Nadendla, S.; Yan, Y.; Sichtig, H.
USA/PP_0003F8X.4/2018-01-01	2018-05-28	North America	USA		1A		Homo sapiens	OM202928.1	Rios, M.; Fares-Gusmao, R.; Volkova, E.; Grinev, A.; Assis, F.; Chancey, C.; Ok, S.; Rocha, B.; Sippert, E.; Tallon, L.; Sadzewicz, L.; Vavikolanu, K.; Mehta, A.; Aluvathingal, J.; Nadendla, S.; Yan, Y.; Sichtig, H.
USA/PP_0003FBR.4/2018-01-01	2018-05-28	North America	USA		1A		Homo sapiens	OM202931.1	Rios, M.; Fares-Gusmao, R.; Volkova, E.; Grinev, A.; Assis, F.; Chancey, C.; Ok, S.; Rocha, B.; Sippert, E.; Tallon, L.; Sadzewicz, L.; Vavikolanu, K.; Mehta, A.; Aluvathingal, J.; Nadendla, S.; Yan, Y.; Sichtig, H.
USA/PP_0003GK7.3/2019-09-06	2019-09-06	North America	USA	Lexington,MA	1A		Vicugna pacos	ON994909.1	Lee, D.-H.; Chung, D. H.; Helal, Z.; McGinnis, H.; Sims, M.; Hunt, A.; Hyeon, J.-Y.; Kim, J.; Risatti, G.
USA/PP_0003GL5.3/2021-09-19	2021-09-19	North America	USA	Brandford,CT	1A		Corvus	ON994910.1	Lee, D.-H.; Chung, D. H.; Helal, Z.; McGinnis, H.; Sims, M.; Hunt, A.; Hyeon, J.-Y.; Kim, J.; Risatti, G.
Italy/PP_0003GQX.3/2021-01-01	2021-05-28	Europe	Italy		1A		Columbidae	OP009518.1	Barzon, L.; Montarsi, F.; Quaranta, E.; Monne, I.; Pacenti, M.; Michelutti, A.; Toniolo, F.; Danesi, P.; Marchetti, G.; Gobbo, F.; Sinigaglia, A.; Riccetti, S.; Dal Molin, E.; Favero, L.; Russo, F.; Capelli, G.; Quaranta, E. G.; Palumbo, E.; Schivo, A.; Salviato, A.
Italy/PP_0003GRV.3/2021-01-01	2021-05-28	Europe	Italy		1A		Columbidae	OP009519.1	Barzon, L.; Montarsi, F.; Quaranta, E.; Monne, I.; Pacenti, M.; Michelutti, A.; Toniolo, F.; Danesi, P.; Marchetti, G.; Gobbo, F.; Sinigaglia, A.; Riccetti, S.; Dal Molin, E.; Favero, L.; Russo, F.; Capelli, G.; Quaranta, E. G.; Palumbo, E.; Schivo, A.; Salviato, A.
Italy/PP_0003GST.3/2021-01-01	2021-05-28	Europe	Italy		1A		Streptopelia decaocto	OP009520.1	Barzon, L.; Montarsi, F.; Quaranta, E.; Monne, I.; Pacenti, M.; Michelutti, A.; Toniolo, F.; Danesi, P.; Marchetti, G.; Gobbo, F.; Sinigaglia, A.; Riccetti, S.; Dal Molin, E.; Favero, L.; Russo, F.; Capelli, G.; Quaranta, E. G.; Palumbo, E.; Schivo, A.; Salviato, A.
Italy/PP_0003GTR.3/2021-08-23	2021-08-23	Europe	Italy		1A		Culex pipiens	OP009521.1	Barzon, L.; Montarsi, F.; Quaranta, E.; Monne, I.; Pacenti, M.; Michelutti, A.; Toniolo, F.; Danesi, P.; Marchetti, G.; Gobbo, F.; Sinigaglia, A.; Riccetti, S.; Dal Molin, E.; Favero, L.; Russo, F.; Capelli, G.; Quaranta, E. G.; Palumbo, E.; Schivo, A.; Salviato, A.
Italy/PP_0003GUP.3/2021-08-16	2021-08-16	Europe	Italy		1A		Culex pipiens	OP009522.1	Barzon, L.; Montarsi, F.; Quaranta, E.; Monne, I.; Pacenti, M.; Michelutti, A.; Toniolo, F.; Danesi, P.; Marchetti, G.; Gobbo, F.; Sinigaglia, A.; Riccetti, S.; Dal Molin, E.; Favero, L.; Russo, F.; Capelli, G.; Quaranta, E. G.; Palumbo, E.; Schivo, A.; Salviato, A.
Italy/PP_0003GVM.3/2021-08-16	2021-08-16	Europe	Italy		1A		Culex pipiens	OP009523.1	Barzon, L.; Montarsi, F.; Quaranta, E.; Monne, I.; Pacenti, M.; Michelutti, A.; Toniolo, F.; Danesi, P.; Marchetti, G.; Gobbo, F.; Sinigaglia, A.; Riccetti, S.; Dal Molin, E.; Favero, L.; Russo, F.; Capelli, G.; Quaranta, E. G.; Palumbo, E.; Schivo, A.; Salviato, A.
